n,t,m,meth
90,0.3762691020965576,65867776,pytket
90,0.081744,6193152,quipper
105,13.852032899856567,78307328,projectq
105,0.34073805809020996,107003904,qiskit
105,0.07941079139709473,62775296,ket
105,0.29774904251098633,173735936,cirq
105,0.2517051696777344,147800064,amazon
105,0.17754578590393066,132304896,pennylane
105,0.091263798,34156544,qsharp
105,0.39616990089416504,66899968,pytket
105,0.116875,7888896,quipper
123,38.33773112297058,78614528,projectq
123,0.4463081359863281,112357376,qiskit
123,0.101470947265625,62619648,ket
123,0.4208800792694092,175222784,cirq
123,0.39168834686279297,152322048,amazon
123,0.3094308376312256,135110656,pennylane
123,0.146411127,35000320,qsharp
123,0.43305301666259766,68546560,pytket
123,0.208824,8929280,quipper
143,85.86436200141907,78790656,projectq
143,0.5885729789733887,118816768,qiskit
143,0.1384897232055664,62619648,ket
143,0.6122989654541016,176283648,cirq
143,0.5026590824127197,158146560,amazon
143,0.3468608856201172,138342400,pennylane
143,0.154312762,35258368,qsharp
143,0.39378929138183594,70385664,pytket
143,0.246022,10514432,quipper
167,183.7642261981964,78999552,projectq
167,0.8346648216247559,126607360,qiskit
167,0.19144487380981445,62844928,ket
167,0.9127130508422852,180490240,cirq
167,0.714838981628418,166236160,amazon
167,0.4405958652496338,142872576,pennylane
167,0.312740444,41201664,qsharp
167,0.4229700565338135,73003008,pytket
167,0.363554,13123584,quipper
195,452.1978211402893,79876096,projectq
195,1.110987901687622,140025856,qiskit
195,0.24905920028686523,63033344,ket
195,1.3923439979553223,184508416,cirq
195,0.9914610385894775,177405952,amazon
195,0.6128909587860107,149073920,pennylane
195,0.65151245,41209856,qsharp
195,0.49560999870300293,76525568,pytket
195,0.498064,16281600,quipper
228,874.1589739322662,80130048,projectq
228,1.5867838859558105,156852224,qiskit
228,0.3546791076660156,63594496,ket
228,2.198543071746826,190943232,cirq
228,1.377220869064331,194547712,amazon
228,0.8762569427490234,157495296,pennylane
228,1.498275163,727142400,qsharp
228,0.640099048614502,81367040,pytket
228,0.753786,20439040,quipper
266,2.1779680252075195,182730752,qiskit
266,0.4884648323059082,63590400,ket
266,3.523102045059204,198066176,cirq
266,1.8667891025543213,215265280,amazon
266,1.1901659965515137,169115648,pennylane
266,3.473659755,1053704192,qsharp
266,0.5928242206573486,88526848,pytket
266,1.073673,25722880,quipper
311,3.075014114379883,212746240,qiskit
311,0.6589701175689697,64331776,ket
311,5.48110294342041,210665472,cirq
311,2.5122740268707275,246677504,amazon
311,1.6201989650726318,185487360,pennylane
311,6.767513553,1117745152,qsharp
311,0.6584420204162598,97792000,pytket
311,1.598247,34103296,quipper
363,4.096367120742798,262905856,qiskit
363,0.8953280448913574,64528384,ket
363,8.528100967407227,224382976,cirq
363,3.3369851112365723,285593600,amazon
363,2.2066099643707275,207372288,pennylane
363,12.643247636,1311662080,qsharp
363,0.7602918148040771,111288320,pytket
363,2.271912,45674496,quipper
424,5.449373960494995,317591552,qiskit
424,1.1800639629364014,65069056,ket
424,13.218861103057861,244346880,cirq
424,4.504095077514648,344248320,amazon
424,2.8434700965881348,237772800,pennylane
424,20.775493419,1298087936,qsharp
424,0.95992112159729,128401408,pytket
424,3.492097,62390272,quipper
495,7.863135814666748,396308480,qiskit
495,1.6334772109985352,66023424,ket
495,21.036663055419922,286683136,cirq
495,6.455610990524292,416579584,amazon
495,3.8420801162719727,279150592,pennylane
495,36.739656172,1353732096,qsharp
495,1.133103847503662,151400448,pytket
495,5.05283,83398656,quipper
578,10.342019081115723,484761600,qiskit
578,2.198418140411377,66826240,ket
578,32.28656506538391,315314176,cirq
578,8.227877855300903,515186688,amazon
578,5.0762739181518555,334454784,pennylane
578,65.084969865,1561702400,qsharp
578,1.3730931282043457,185118720,pytket
578,7.466958,108560384,quipper
675,13.922032833099365,632209408,qiskit
675,2.938628911972046,69402624,ket
675,50.913498878479004,347389952,cirq
675,10.93038010597229,660402176,amazon
675,7.125873804092407,409411584,pennylane
675,114.997165819,2171740160,qsharp
675,1.7430169582366943,228339712,pytket
675,10.948937,146317312,quipper
789,18.854411840438843,862019584,qiskit
789,4.04020094871521,69591040,ket
789,80.84117913246155,395264000,cirq
789,14.476467847824097,845647872,amazon
789,9.578044891357422,514027520,pennylane
789,204.402644825,2279800832,qsharp
789,2.4158027172088623,291655680,pytket
789,16.694933,200880128,quipper
921,26.276365041732788,1139769344,qiskit
921,5.638524055480957,71688192,ket
921,127.8359112739563,470171648,cirq
921,20.541946172714233,1116692480,amazon
921,12.761321067810059,654671872,pennylane
921,369.427331787,2552557568,qsharp
921,3.0502021312713623,371707904,pytket
921,25.871716,270053376,quipper
1075,35.87033176422119,1582247936,qiskit
1075,7.540697813034058,74907648,ket
1075,205.9928698539734,539131904,cirq
1075,26.898937225341797,1457627136,amazon
1075,16.63873791694641,845918208,pennylane
1075,4.226830959320068,487952384,pytket
1075,35.109256,361308160,quipper
1256,47.29641819000244,2016432128,qiskit
1256,10.457879066467285,85979136,ket
1256,323.05435514450073,662757376,cirq
1256,38.5536367893219,1967480832,amazon
1256,23.918579816818237,1108262912,pennylane
1256,5.547194957733154,637100032,pytket
1256,36.843913,455655424,quipper
1467,66.67611908912659,2761015296,qiskit
1467,14.169036626815796,103178240,ket
1467,515.242782831192,819400704,cirq
1467,51.38532996177673,2604584960,amazon
1467,31.18829083442688,1473196032,pennylane
1467,7.333213806152344,857038848,pytket
1467,40.227234,577290240,quipper
1713,89.91375732421875,3741442048,qiskit
1713,19.83105492591858,127946752,ket
1713,823.2215750217438,1033142272,cirq
1713,68.88653612136841,3555483648,amazon
1713,44.31272292137146,1960742912,pennylane
1713,10.188355922698975,1133768704,pytket
1713,43.363471,707338240,quipper
2000,124.92337203025818,5016309760,qiskit
2000,27.26519227027893,189083648,ket
2000,1329.526760816574,1333444608,cirq
2000,96.96523594856262,4736413696,amazon
2000,58.162957191467285,2624057344,pennylane
2000,13.769100904464722,1510604800,pytket
2000,51.848035,965263360,quipper
1500,3632.2052552980,2743164928,qsharp
2000,19902.2720734330,2645659648,qsharp
1,0.00010704994201660156,175767552,strawberry
2,0.00015306472778320312,175837184,strawberry
